pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
11,"埼玉県",22042,"桜沢","さくらざわ","埼玉県",36.128668,139.208232
11,"埼玉県",22043,"指扇","さしおうぎ","",35.917142,139.565102
11,"埼玉県",22040,"幸手","さって","",36.074545,139.714859
11,"埼玉県",22044,"狭山ケ丘","さやまがおか","",35.810456,139.416757
11,"埼玉県",22045,"狭山市","さやまし","",35.857369,139.413311
11,"埼玉県",22048,"志木","しき","",35.822236,139.575216
11,"埼玉県",22049,"志久","しく","",35.990969,139.622260
11,"埼玉県",22050,"下山口","しもやまぐち","",35.779349,139.440841
11,"埼玉県",22046,"沼南","しょうなん","",35.970998,139.623483
11,"埼玉県",22047,"正丸","しょうまる","",35.938300,139.182105
11,"埼玉県",22051,"白岡","しらおか","",36.017411,139.666810
11,"埼玉県",22052,"白久","しろく","",35.958989,138.993231
11,"埼玉県",22053,"新河岸","しんがし","",35.890643,139.497275
11,"埼玉県",22054,"新古河","しんこが","",36.192726,139.686913
11,"埼玉県",22055,"新越谷","しんこしがや","",35.875178,139.789918
11,"埼玉県",22056,"新郷","しんごう","埼玉県",36.171197,139.510511
11,"埼玉県",22057,"新狭山","しんさやま","",35.873977,139.433503
11,"埼玉県",22058,"新白岡","しんしらおか","",36.038714,139.672115
11,"埼玉県",22059,"新田","しんでん","埼玉県",35.853875,139.795724
11,"埼玉県",22060,"新所沢","しんところざわ","",35.806763,139.456116
11,"埼玉県",22061,"新三郷","しんみさと","",35.858626,139.869356
11,"埼玉県",22062,"森林公園","しんりんこうえん","埼玉県",36.045236,139.374944
11,"埼玉県",22063,"神保原","じんぼはら","",36.253738,139.149287
11,"埼玉県",22064,"杉戸高野台","すぎとたかのだい","",36.051547,139.714638
11,"埼玉県",22065,"西武球場前","せいぶきゅうじょうまえ","",35.770850,139.419454
11,"埼玉県",22066,"西武秩父","せいぶちちぶ","",35.989682,139.083388
11,"埼玉県",22067,"せんげん台","せんげんだい","",35.935755,139.774583
11,"埼玉県",22068,"草加","そうか","",35.828490,139.803447
11,"埼玉県",29776,"ソシオ流通センター","そしおりゅうつうせんたー","",36.136506,139.424380
11,"埼玉県",22069,"高坂","たかさか","",36.002658,139.397640
11,"埼玉県",22070,"武川","たけかわ","",36.142224,139.281698
11,"埼玉県",22071,"武里","たけさと","",35.949032,139.770610
11,"埼玉県",22072,"竹沢","たけざわ","",36.075453,139.229983
11,"埼玉県",22073,"玉淀","たまよど","",36.117086,139.200067
11,"埼玉県",22074,"丹荘","たんしょう","",36.216852,139.102265
11,"埼玉県",22075,"秩父","ちちぶ","",35.998764,139.086082
11,"埼玉県",29383,"つきのわ","つきのわ","",36.043459,139.345420
11,"埼玉県",22076,"鶴ケ島","つるがしま","",35.936915,139.423723
11,"埼玉県",22077,"鶴瀬","つるせ","",35.845788,139.539496
11,"埼玉県",21984,"鉄道博物館","てつどうはくぶつかん","",35.920254,139.617652
11,"埼玉県",22078,"東武竹沢","とうぶたけざわ","",36.075480,139.237566
11,"埼玉県",22079,"東武動物公園","とうぶどうぶつこうえん","",36.024856,139.726694
11,"埼玉県",22080,"所沢","ところざわ","",35.786544,139.473338
11,"埼玉県",22081,"戸田","とだ","埼玉県",35.817655,139.669597
11,"埼玉県",22082,"戸田公園","とだこうえん","",35.808045,139.678042
11,"埼玉県",29354,"戸塚安行","とづかあんぎょう","",35.858763,139.753728
11,"埼玉県",22083,"豊春","とよはる","",35.967973,139.726169
11,"埼玉県",22084,"土呂","とろ","",35.931725,139.632207
11,"埼玉県",22133,"獨協大学前","どっきょうだいがくまえ","",35.843182,139.800724
11,"埼玉県",22085,"中浦和","なかうらわ","",35.853901,139.637321
11,"埼玉県",22086,"永田","ながた","埼玉県",36.135253,139.259533
11,"埼玉県",22087,"長瀞","ながとろ","",36.095588,139.112075
11,"埼玉県",22088,"七里","ななさと","",35.936281,139.665759
11,"埼玉県",22090,"新座","にいざ","",35.803766,139.556247
11,"埼玉県",22091,"西吾野","にしあがの","",35.926385,139.202186
11,"埼玉県",22092,"西浦和","にしうらわ","",35.844206,139.627906
11,"埼玉県",29640,"西大宮","にしおおみや","",35.922308,139.579878
11,"埼玉県",22093,"西大家","にしおおや","",35.931692,139.356340
11,"埼玉県",22094,"西川口","にしかわぐち","",35.815711,139.704400
11,"埼玉県",22095,"西川越","にしかわごえ","",35.919168,139.459499
11,"埼玉県",22096,"西所沢","にしところざわ","",35.789265,139.456005
11,"埼玉県",22097,"西羽生","にしはにゅう","",36.176558,139.524482
11,"埼玉県",22089,"日進","にっしん","埼玉県",35.931558,139.606180
11,"埼玉県",22098,"野上","のがみ","",36.111585,139.110853
11,"埼玉県",22099,"波久礼","はぐれ","",36.126723,139.158153
11,"埼玉県",22100,"蓮田","はすだ","",35.981248,139.652897
11,"埼玉県",22101,"鉢形","はちがた","",36.113754,139.209344
11,"埼玉県",29352,"鳩ケ谷","はとがや","",35.830710,139.736231
11,"埼玉県",22102,"花崎","はなさき","",36.109928,139.633615
11,"埼玉県",22103,"羽生","はにゅう","",36.170364,139.534065
11,"埼玉県",22104,"羽貫","はぬき","",36.007133,139.608538
11,"埼玉県",22105,"原市","はらいち","",35.963805,139.622150
11,"埼玉県",22106,"飯能","はんのう","",35.851089,139.319069
11,"埼玉県",22107,"東吾野","ひがしあがの","",35.892084,139.260712
11,"埼玉県",22108,"東岩槻","ひがしいわつき","",35.963335,139.712254
11,"埼玉県",22109,"東浦和","ひがしうらわ","",35.864122,139.704647
11,"埼玉県",22110,"東大宮","ひがしおおみや","",35.948723,139.640316
11,"埼玉県",22111,"東川口","ひがしかわぐち","",35.875233,139.744145
11,"埼玉県",22112,"東行田","ひがしぎょうだ","",36.147477,139.468293
11,"埼玉県",22113,"東所沢","ひがしところざわ","",35.794599,139.513806
11,"埼玉県",22114,"東飯能","ひがしはんのう","",35.852672,139.325986
11,"埼玉県",22115,"東松山","ひがしまつやま","",36.034849,139.401721
11,"埼玉県",22116,"東宮原","ひがしみやはら","",35.942668,139.618123
11,"埼玉県",22117,"東毛呂","ひがしもろ","",35.946884,139.315399
11,"埼玉県",22118,"東鷲宮","ひがしわしのみや","",36.089459,139.679223
11,"埼玉県",22119,"樋口","ひぐち","",36.130972,139.122739
11,"埼玉県",22120,"姫宮","ひめみや","",36.004081,139.738833
11,"埼玉県",29449,"ひろせ野鳥の森","ひろせやちょうのもり","",36.146225,139.351804
11,"埼玉県",22121,"深谷","ふかや","",36.191497,139.281001
11,"埼玉県",22122,"吹上","ふきあげ","埼玉県",36.103232,139.453158
11,"埼玉県",22123,"藤の牛島","ふじのうしじま","",35.980167,139.777665
11,"埼玉県",22124,"ふじみ野","ふじみの","",35.860814,139.523108
11,"埼玉県",22125,"仏子","ぶし","",35.837869,139.360039
11,"埼玉県",22126,"武州荒木","ぶしゅうあらき","",36.162531,139.488652
11,"埼玉県",22127,"武州唐沢","ぶしゅうからさわ","",35.951940,139.309316
11,"埼玉県",22128,"武州中川","ぶしゅうなかがわ","",35.958295,139.035393
11,"埼玉県",22129,"武州長瀬","ぶしゅうながせ","",35.941941,139.325704
11,"埼玉県",22130,"武州日野","ぶしゅうひの","",35.953851,139.022089
11,"埼玉県",22131,"本川越","ほんかわごえ","",35.914113,139.481387
11,"埼玉県",22132,"本庄","ほんじょう","",36.236129,139.188619
11,"埼玉県",29484,"本庄早稲田","ほんじょうわせだ","",36.218992,139.179315
11,"埼玉県",22134,"松久","まつひさ","",36.172969,139.182150
11,"埼玉県",22135,"的場","まとば","",35.917640,139.436084
11,"埼玉県",22136,"丸山","まるやま","埼玉県",35.979553,139.624428
11,"埼玉県",22138,"三郷","みさと","埼玉県",35.844878,139.886773
11,"埼玉県",29401,"三郷中央","みさとちゅうおう","",35.824047,139.878164
11,"埼玉県",22139,"みずほ台","みずほだい","",35.838233,139.550856
11,"埼玉県",22140,"三峰口","みつみねぐち","",35.960099,138.977787
11,"埼玉県",22141,"皆野","みなの","",36.068617,139.093855
11,"埼玉県",22142,"南浦和","みなみうらわ","",35.847679,139.669152
11,"埼玉県",22143,"南大塚","みなみおおつか","",35.889782,139.454307
11,"埼玉県",22144,"南栗橋","みなみくりはし","",36.113180,139.712886
11,"埼玉県",22145,"南越谷","みなみこしがや","",35.875984,139.791224
11,"埼玉県",22146,"南桜井","みなみさくらい","",35.980445,139.807995
11,"埼玉県",29351,"南鳩ケ谷","みなみはとがや","",35.816545,139.736231
11,"埼玉県",22147,"南羽生","みなみはにゅう","",36.149979,139.556231
11,"埼玉県",22148,"南古谷","みなみふるや","",35.903226,139.519440
11,"埼玉県",22149,"南与野","みなみよの","",35.867427,139.631209
11,"埼玉県",22150,"宮原","みやはら","",35.940252,139.609569
11,"埼玉県",22137,"明覚","みょうかく","",36.003295,139.288787
11,"埼玉県",22151,"武蔵浦和","むさしうらわ","",35.845624,139.646654
11,"埼玉県",22152,"武蔵高萩","むさしたかはぎ","",35.901751,139.371479
11,"埼玉県",22153,"武蔵藤沢","むさしふじさわ","",35.821205,139.412590
