station_name,ek
柴又,55017620
芝浦ふ頭,7517560
芝公園,6017570
芝山千代田,55753925
舎人,76580823
舎人公園,76580822
社家,19518400
若松河田,7050020
若葉,38541600
若葉台,29041610
若林,23541620
酒々井,52517320
宗吾参道,55521630
秋山,56000490
秋川,33000450
秋津,37000470
秋葉原,76000480
習志野,53527980
住吉,6520870
十条,39518440
十二橋,60518470
十日市場,19025590
渋沢,24517630
渋谷,26517640
宿河原,18518510
春日,7008030
春日部,49508090
初石,49530720
初台,27530800
初富,53530840
所沢,37026120
曙橋,6500590
女子大,54518780
勝どき,7050055
勝浦,61008490
勝田台,55508540
小岩,57313900
小机,19015030
小宮,34015390
小金城趾,52014560
小見川,52507190
小作,32506800
小室,56015400
小手指,37015050
小菅,44014900
小川,32006610
小川町,38506630
小前田,49007180
小倉台,59506720
小村井,44507200
小台,8506850
小竹向原,3514950
小伝馬町,2015070
小田栄,18584015
小田急永山,25006890
小田急相模原,24506870
小田急多摩センター,25006880
小田原,73506930
小島新田,10514860
小平,35514930
小涌谷,26015540
小林,52515170
小櫃,63507150
昭島,32500460
昭和,13518750
昭和島,8018760
松が谷,30035880
松陰神社前,23518530
松岸,58535890
松久,34036050
松原,23536030
松戸,53535990
松戸新田,53536000
松田,16535950
松飛台,56036060
松尾,58535830
沼袋,35029830
沼南,42518640
沼部,21029840
湘南海岸公園,15018660
湘南江の島,14518650
湘南深沢,14518680
湘南台,17018670
湘南町屋,14518690
鐘ヶ淵,44008770
上井草,35009040
上永谷,17009260
上強羅,26282795
上熊谷,49009150
上溝,19509430
上星川,17509360
上石神井,35009200
上総一ノ宮,61008110
上総久保,63008180
上総牛久,63008120
上総三又,63008230
上総山田,63008260
上総清川,63508170
上総川間,63008160
上総村上,63008250
上総鶴舞,63008190
上総湊,62508240
上大井,16509080
上大岡,17009090
上中里,12509240
上町,23509410
上長瀞,49009250
上板橋,38509050
上尾,758500530
上福岡,38509340
上北台,30009140
上北沢,28009130
上本郷,53509390
上野,2004030
上野御徒町,7050035
上野広小路,1004070
上野毛,21509280
常盤平,53525990
尻手,18517430
信濃町,57317470
新井宿,64053835
新井薬師前,35001440
新羽,17029640
新浦安,60019090
新越谷,44019520
新横浜,17020390
新河岸,38519210
新鎌ヶ谷,56319270
新丸子,20520280
新橋,7520110
新狭山,35019630
新郷,49019460
新検見川,57319440
新古河,47019500
新御茶ノ水,3019190
新御徒町,76050040
新庚申塚,8519480
新江古田,7019110
新高円寺,1519470
新高島,64554015
新高島平,6019810
新座,33528210
新桜台,3519600
新三河島,55520290
新三郷,33520300
新子安,12519550
新柴又,56019660
新秋津,33518980
新習志野,60020050
新宿,24019670
新宿御苑前,1519680
新宿三丁目,6519690
新宿西口,7050010
新所沢,35019960
新小岩,58019450
新小金井,31019510
新小平,33519530
新松戸,33520270
新松田,24520260
新杉田,14019740
新整備場,8019760
新千葉,56519860
新川崎,758019290
新船橋,49520190
新代田,26519800
新大久保,519120
新大津,11519150
新大塚,1519160
新中野,1520030
新津田沼,53519870
新田,44019900
新日本橋,58020080
新馬場,9520140
新柏,49519220
新白岡,758019720
新八柱,33520360
新板橋,6019040
新百合ヶ丘,25020370
新富町,4019980
新豊洲,7580005
新茂原,61020330
新木,52501530
新木場,9019330
森下,7039490
森林公園,38520410
深谷,758533560
真鶴,16036110
神楽坂,2507710
神泉,26519790
神谷町,2009450
神田,1010270
神奈川,9508630
神奈川新町,9508640
神武寺,11020310
神保原,758520230
神保町,6520210
秦野,24530640
親鼻,49007260
人形町,5529780
逗子,758020640
逗子・葉山,11019750
吹上,758533580
水郷,52520440
水天宮前,4520460
水道橋,6020470
瑞江,6536730
杉戸高野台,47020590
杉田,9520580
菅野,55520540
世田谷,23521210
世田谷代田,24021220
瀬谷,17521310
是政,31015520
成城学園前,24020990
成瀬,19028070
成増,38528040
成田,52528010
成田空港,56328020
成田湯川,56303995
成東,61528090
整備場,8031030
星川,17534990
清水公園,49517750
清澄白河,7050050
清瀬,37012120
生田,24001950
生麦,9527900
聖蹟桜ヶ丘,28021020
西ヶ原,5028560
西ヶ原四丁目,8528570
西羽生,49029320
西浦和,33528360
西永福,26528380
西横浜,17529560
西荻窪,57328500
西海鹿島,71563465
西葛西,2528520
西鎌倉,14528580
西高島平,6029010
西国分寺,33528740
西国立,18528700
西所沢,36029090
西小山,20528780
西新井,45028310
西新井大師西,76580820
西新宿,1528860
西新宿五丁目,7028870
西千葉,57329050
西川越,40028610
西川口,12628600
西船橋,59029360
西早稲田,4380840
西巣鴨,6028890
西太子堂,23528990
西台,6028980
西大井,758028400
西大家,39028480
西大宮,40042510
西大原,62028470
西大島,6528430
西谷,18329450
西調布,28029060
西登戸,56529200
西日暮里,76529160
西馬込,5529410
西白井,56028840
西八王子,30529300
西府,18542410
西武園,34521030
西武園ゆうえんち,36540620
西武球場前,36521040
西武新宿,35021050
西武秩父,38021070
西武柳沢,35021080
西武立川,35521060
