station_name,ek
ゆめが丘,018040740
湘南台,018018670
羽沢横浜国大,018384040
西谷,018329450
あざみ野,017000820
中川,017026980
センター北,017021500
センター南,017021510
仲町台,017027500
新羽,017029640
北新横浜,017011280
新横浜,017020390
岸根公園,017010780
片倉町,017008380
三ツ沢上町,017037000
三ツ沢下町,017037010
横浜,017040940
高島町,017022290
桜木町,017016100
関内,017010300
伊勢佐木長者町,017002680
阪東橋,017031470
吉野町,017041060
蒔田,017035520
弘明寺,017012920
上大岡,017009090
港南中央,017014270
上永谷,017009260
下永谷,017018210
舞岡,017035480
戸塚,017026210
踊場,017007020
中田,017027160
立場,017023200
下飯田,017017850
湘南台,017018670
中山,077027620
川和町,077080825
都筑ふれあいの丘,077080826
センター南,077021510
センター北,077021500
北山田,077080827
東山田,077080828
高田,077080829
日吉本町,077080830
日吉,077033150
横浜,064540940
新高島,064554015
みなとみらい,064554020
馬車道,064554025
日本大通り,064554030
元町・中華街,064554035
新杉田,014019740
南部市場,014028180
鳥浜,014026750
並木北,014027920
並木中央,014027930
幸浦,014016340
産業振興センター,014016690
福浦,014033620
市大医学部,014017360
八景島,014030740
海の公園柴口,014004560
海の公園南口,014004570
野島公園,014030040
金沢八景,014008650
藤沢,015033900
石上,015002130
柳小路,015040090
鵠沼,015012500
湘南海岸公園,015018660
江ノ島,015005010
腰越,015014830
鎌倉高校前,015008900
七里ヶ浜,015017400
稲村ヶ崎,015003400
極楽寺,015014710
長谷,015030550
由比ヶ浜,015040600
和田塚,015041800
鎌倉,015008890
大船,014506240
富士見町,014534050
湘南町屋,014518690
湘南深沢,014518680
西鎌倉,014528580
片瀬山,014508410
目白山下,014539140
湘南江の島,014518650
小田原,026006930
箱根板橋,026030390
風祭,026007840
入生田,026003710
箱根湯本,026030410
塔ノ沢,026025750
宮ノ下,026038290
小涌谷,026015540
彫刻の森,026024400
強羅,026014420
強羅,026214420
公園上,026282520
中強羅,026283070
上強羅,026282795
早雲山,026282960
小田原,073506930
緑町,073563805
井細田,073563810
五百羅漢,073563815
穴部,073563820
飯田岡,073563825
相模沼田,073563830
岩原,073563835
塚原,073563840
和田河原,073563845
富士フイルム前,073563850
大雄山,073563855
千葉,057324180
西千葉,057329050
稲毛,057303250
新検見川,057319440
幕張,057335640
幕張本郷,057335650
津田沼,057324780
東船橋,057332350
船橋,057334480
西船橋,057329360
下総中山,057317950
本八幡,057339350
市川,057302990
松戸,050035990
北松戸,050011570
馬橋,050036120
新松戸,050020270
北小金,050011150
南柏,050037420
柏,050007970
北柏,050011040
我孫子,050001190
天王台,050025450
佐倉,052516030
酒々井,052517320
成田,052528010
空港第２ビル,052512430
成田空港,052528020
久住,052512700
滑河,052527950
下総神崎,052517920
大戸,052506060
佐原,052516650
香取,052508620
水郷,052520440
小見川,052507190
笹川,052516250
下総橘,052517930
下総豊里,052517940
椎柴,052516950
松岸,052535890
銚子,052524410
我孫子,052501190
東我孫子,052531580
湖北,052515220
新木,052501530
布佐,052533770
木下,052510630
小林,052515170
安食,052500890
下総松崎,052517960
南流山,033537670
新松戸,033520270
新八柱,033520360
東松戸,033532400
市川大野,033503000
船橋法典,033534510
西船橋,033529360
市川,058002990
船橋,058034480
津田沼,058024780
稲毛,058003250
千葉,058024180
東千葉,058532030
都賀,058524530
四街道,058541130
物井,058539360
佐倉,058516030
南酒々井,058537540
榎戸,058504990
八街,058539960
日向,058533100
成東,058528090
松尾,058535830
横芝,058540880
飯倉,058501810
八日市場,058540820
干潟,058532610
旭,058500740
飯岡,058501800
倉橋,058512990
猿田,058516610
松岸,058535890
銚子,058524410
舞浜,060035540
新浦安,060019090
市川塩浜,060003010
西船橋,060029360
二俣新町,060034280
南船橋,060037760
新習志野,060020050
海浜幕張,060007530
検見川浜,060013790
稲毛海岸,060003260
千葉みなと,060024240
蘇我,060021750
佐原,060516650
香取,060508620
十二橋,060518470
千葉,061024180
本千葉,061035430
蘇我,061021750
鎌取,061008970
誉田,061035410
土気,061026070
大網,061005390
永田,061027170
本納,061035460
新茂原,061020330
茂原,061039370
八積,061040020
上総一ノ宮,061008110
東浪見,061026670
太東,061021980
長者町,061024430
三門,061036310
大原,061006200
浪花,061027940
御宿,061007420
勝浦,061008490
安房小湊,061001680
安房天津,061001650
安房鴨川,061001670
大網,061505390
福俵,061533690
東金,061525610
求名,061512900
成東,061528090
千葉,062524180
本千葉,062535430
蘇我,062521750
浜野,062531130
八幡宿,062540570
五井,062513840
姉ヶ崎,062501140
長浦,062526880
袖ヶ浦,062521770
巌根,062503900
木更津,062510750
君津,062511830
青堀,062500220
大貫,062506140
上総湊,062508240
竹岡,062522840
浜金谷,062531060
保田,062535070
那古船形,062527720
館山,062523220
九重,062514780
安房鴨川,062501670
